SIZE,COMPRESSED,RATIO,TIME
50,89,1.78,0.020137071609497
5,47,9.4,0.016434907913208
10,52,5.2,0.014285087585449
15,57,3.8,0.015592098236084
20,62,3.1,0.01452898979187
25,67,2.68,0.014384984970093
30,72,2.4,0.015902042388916
35,75,2.1428571428571,0.014346122741699
40,80,2,0.014397144317627
45,85,1.8888888888889,0.014802932739258
50,90,1.8,0.015256881713867
100,137,1.37,0.014240026473999
55,95,1.7272727272727,0.016812086105347
60,99,1.65,0.015011072158813
65,104,1.6,0.015921115875244
70,107,1.5285714285714,0.016468048095703
75,114,1.52,0.016065120697021
80,119,1.4875,0.016218900680542
85,124,1.4588235294118,0.016472101211548
90,128,1.4222222222222,0.014583110809326
95,133,1.4,0.014774084091187
100,136,1.36,0.017451047897339
150,172,1.1466666666667,0.016583919525146
105,143,1.3619047619048,0.015308141708374
110,148,1.3454545454545,0.015929937362671
115,151,1.3130434782609,0.015828132629395
120,154,1.2833333333333,0.014036178588867
125,155,1.24,0.015758037567139
130,159,1.2230769230769,0.014647960662842
135,163,1.2074074074074,0.01419997215271
140,166,1.1857142857143,0.015359878540039
145,168,1.1586206896552,0.01505184173584
150,173,1.1533333333333,0.014979124069214
200,211,1.055,0.015725135803223
155,176,1.1354838709677,0.01582407951355
160,179,1.11875,0.017472982406616
165,183,1.1090909090909,0.01595401763916
170,187,1.1,0.014971017837524
175,192,1.0971428571429,0.015630006790161
180,194,1.0777777777778,0.015065908432007
185,197,1.0648648648649,0.014775037765503
190,202,1.0631578947368,0.0160071849823
195,205,1.0512820512821,0.015845775604248
90,128,1.4222222222222,0.01617693901062
250,247,0.988,0.016019105911255
205,216,1.0536585365854,0.015280961990356
210,222,1.0571428571429,0.014134168624878
215,223,1.0372093023256,0.015033006668091
220,227,1.0318181818182,0.014961957931519
225,232,1.0311111111111,0.014961957931519
230,236,1.0260869565217,0.017258167266846
235,240,1.0212765957447,0.016048192977905
240,243,1.0125,0.014820098876953
